ID,Name,Producer,Product ID,Type,Form,Species,End pH Min,End pH Max,Flavor/Aroma,Pitch,Pitch Temp ©,Tolerance (%),Attenuation Min (%),Attenuation Max (%),Flocculation (%),Temperature Min ©,Temperature Max ©,Best For,Description
856f6473-e0ea-4740-ae03-a61b4776af16,AURORA,Bootleg Biology,BBAUR,Kveik,Liquid,Saccharomyces cerevisiae,4.3,4.6,"Subtle Orange, Citrus Zest",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,76,86,Medium,24,37,"IPA, Pale Ales","The perfect yeast for homebrewers with no temperature control! Use AURORA for worry-free fermentations. Just pitch it and ditch it! AURORA creates pleasant orange and citrus esters that perfectly complement beers like IPAs made with fruit-forward hops. Easily produce rounded, complex beers at temperatures as high as 98F (37C) without being phenolic or having noticeable off flavors. At the high end of fermentation temperature, beers can finish attenuating in as little as three days!"
a194ac3f-8f89-4fa1-9935-d291bfc38297,Classic American,Bootleg Biology,BBUSA1,Ale,Liquid,Saccharomyces cerevisiae,4.3,4.5,"Malt-forward, hop stickiness, bitter, fruity",Directly pitchable into 5 gallons of 1.050 or lower wort,,11,73,78,Medium,18,22,"American Pale Ales, West Coast IPAs, East Coast IPAs, Brut IPAs, Black IPAs, Stouts","Professional brewers fondly refer to this culture as Chico. This is THE yeast for recreating authentic hop-forward beer styles like American Pale Ales, West Coast IPAs, East Coast IPAs, Brut IPAs, & Black IPAs. Reliably produces no-nonsense Blonde Ales, American Porters and Stouts. Ideal for fermenting quick sours due to its low pH tolerance. Classic American will delightfully emphasize malt character, the stickiness of hops and the refreshing qualities of bitterness. This culture will not make a pillowy beer."
7ac6b698-23bb-48d9-a3d1-00ed383b6be8,Classic English,Bootleg Biology,BBXELG,Ale,Liquid,Saccharomyces cerevisiae,4.2,4.3,"English ester, juicy, tropical",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,72,76,Low,17,22,"IPA, Pale Ales, Brut IPA, Bitters, Porters, Stouts","Classic English produces soft, juicy, and tropical fruit flavors when fermenting beers made with citrusy hops. This culture has become the de facto standard for making hazy New England-style IPAs in addition to the Classic New England culture. Ideal for fermenting Milkshake IPA, Brut IPA and other IPA sub-styles. Traditionally used for making ester-drive Porters, Stouts, Pale Ales, Bitters, and most English-style ales."
284c9aa8-f521-49cf-880c-d0eba2aba2e3,Funk Weapon #1,Bootleg Biology,BB0034A,Ale,Liquid,Brettanomyces bruxellensis,3.9,4.4,"Horse Blanket, Fresh Leather",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,80,95,Low,18,24,Saison,"This rare, and commercially unavailable yeast isolate, produces pungent horse blanket and fresh leather aromas. Perfect for breaking out the funk in farmhouse-style beers.Funk Weapon #1 is featured in the Trinity & Epic Brewing collaboration Wild Apple Saison, and Trinity's Magical Brettanomyces Tour #4."
6a37b90c-1cfa-4fab-a701-0023357a71cc,Funk Weapon #2 ,Bootleg Biology,BB0035C,Ale,Liquid,Brettanomyces bruxellensis,3.9,4.4,"Strong Ripe Fruit, Tropical",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,80,95,Medium Low,18,24,Brett IPA,"This rare, and commercially unavailable yeast isolate is perfect for 100% Brettanomyces fermentations, especially Brett IPAs. Amplifies citrus and tropical fruit-forward hop flavors and aromas into a punchy ripeness. With extended time under CO2 pressure, pineapple and tropical fruit aromas will be more pronounced. Great for maintaining the nuance of hops in beer with better keeping qualities than a Brewer's Yeast fermentation."
386b0974-b62c-47a8-aa50-1872d37cdc32,Funk Weapon #3,Bootleg Biology,BB0022,Ale,Liquid,Brettanomyces bruxellensis,3.9,4.3,"mild funk, ripe tropical fruit, strawberry, cherry",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,80,95,Medium,18,24,"Sours, Bretts","Funk Weapon #3 is a versatile culture that creates wildly different flavor and aroma profiles depending on the age of fermentation. Young fermentations produce mild musty funk and ripe tropical fruit, while older and bottle conditioned ferments show off unique flavors and aromas of strawberry, cherry and tropical candy. This commercially unavailable yeast isolate is ideal for 100% Brettanomyces fermentations or as a secondary strain along with a phenolic Brewer's Yeast culture."
96636880-189f-46c2-aabd-4701499bd72a,NEEPAH Blend,Bootleg Biology,BBXNPA,Ale,Liquid,Saccharomyces cerevisiae,4.1,4.4,"Huge citrus, mango, highly emphasizes, tropical hops",Directly pitchable into 5 gallons of 1.050 or lower wort,,7.69231,75,82,Low,19,21,"IPA, Hazy IPA, Pale Ales","The NEEPAH IPA Blend is our secret weapon for delivering the juiciest, tropical fruit bomb you've ever made. Carefully cultivated from a special blend of fruit-forward yeast strains, the NEEPAH Blend is here to amplify the gorgeous rainbow of flavors in your New England-Style IPAs by providing an extra punch of danky goodness. Now you can spend less money on expensive hops and spend more time drinking the best made hazy pale in town. Looking for a versatile culture that'll deliver a new take on flavorful English Ales? The NEEPAH Blend creates decadent beers that out class those made with tired ESB strains. This blend works especially well for Brut IPAs, emphasizing the fruity hop character and reducing the perception of bitterness in dry beers."
5c70c994-3115-48a3-93e2-e9d802deb955,OSLO,Bootleg Biology,BBOSL,Kveik,Liquid,Saccharomyces cerevisiae,4.3,4.6,"Clean, lager",Directly pitchable into 5 gallons of 1.050 or lower wort,30,23.0769,76,86,Medium,24,37,Ales,"OSLO is a modern take on traditional Norwegian farmhouse brewing cultures. OSLO can comfortably produce beautifully clean, lager-like beers at temperatures as high as 98F (37C) without noticeable off flavors. At the high end of fermentation temperature, beers can finish attenuating in as little as three days! This culture's versatility and neutral flavor profile allows you to effortlessly produce most beer styles. Bootleg is the first yeast lab to release this unique Kveik-family culture sourced from a raw beer made by our good friends at Eik & Tid in Oslo, Norway."
c8716146-7112-48c6-82e1-93dcc3cb9f64,S. arlingtonesis™,Bootleg Biology,BB22204,Ale,Liquid,Saccharomyces cerevisiae,4.4,4.6,"Clean, malty, bready, light citrus",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,88,93,High,13,20,"Ales, Kolsch, Lager","This culture ferments extremely clean in the 50'sF (lagers) & 60'sF (Kolsch and Lager hybrids), and has subtle fruity/citrus esters in the higher end of the Ale fermentation range (wheat-centric beers). May produce sulfur aromas during primary fermentation, but those will be eliminated within a couple weeks (allow longer aging if fermenting at lower temperatures). S. arlingtonesis is a higher attenuator than most ale strains, so adjustments made need to be made to grain bills or mash temperatures if a drier beer is not preferred."
81a88ae9-ee15-4fa6-ba1f-6af37bc61203,Saison Parfait™: New World Saison Blend,Bootleg Biology,BBX0104,Ale,Liquid,Saccharomyces cerevisiae,4.1,4.3,"Peppery spice, juicy citrus, hints of banana",Directly pitchable into 5 gallons of 1.050 or lower wort,,23.0769,90,100,Medium Low,18,29,Saison,"Saison Parfait pairs classic pepper & spice saison phenolics with prominent juicy fruit esters that evoke citrus and lemon peel, and a touch of banana for complexity. Even more unique, it finishes with a balanced, full-bodied and silky mouthfeel despite its high attenuation. Saison Parfait means the “Perfect Season”, and is our ode to the fall harvest season. A time for hard work and also celebration. The peasants of rural Flanders and Wallonia created the Saison, and what we now call Farmhouse beers, to drink for sustenance and merriment. Bruegel likely depicted the drinking of Saison beer in his classic paintings of rural country life, “The Harvesters” and “Peasant Wedding”."
