ID,Name,Producer,Group,Type,Standard (ASBC/EBC/ION),Moisture (%),"Extract, F.G. dry (%)",Extract (L/KG),Fine-coarse difference (EBC),Potential (SG),Color (EBC),Diastatic power (ºWK),Protein Total (%),Soluble protein (%),Total Nitrogen (%),Soluble Nitrogen (mg/100g),Max in Batch (%),FAN (mg/g),Alpha Amylase (Dry min),Beta Glucans (mg/l),Saccharification time (min),Viscosity (mPa.s),DMS-P,Kolbach Index,Friability (%),Wort pH,Country,Notes,
a2ffbfcb-c057-4c08-9f62-b6f3dd0212ed,Pilsen Malt,Agraria,base,grain,EBC,4.8,80.5,,,,7,245,11.8,,1.888,,100,140,,180,,1.6,,,,,Brazil,Used for all types of light beers and base for special beers.,
c09a8033-abc2-4010-8423-44e30d32c1da,Pale Ale Malt,Agraria,base,grain,EBC,4.5,80.5,,,,7,200,11.5,,1.84,,100,,,150,,1.6,,,,,Brazil,"Produced with two-row barley 100% national. Malt traditionally used for British high fermentation beers, currently used for Ales, Porter, Sout, Lager and Belgian. With high modification, ideal for the ""mash"" mash technique.",
d3c2dd2a-0fbf-4e09-8a8e-3f628b67ab88,Vienna Malt,Agraria,base,grain,EBC,4.5,80.5,,,,10,200,11.5,,1.84,,100,,,180,,1.6,,,,,Brazil,"Base malt made from 100% domestic two-row barley. Higher protein content, suitable for the manufacture of most Golden / Brown Lagers. Used to correct the color of very light malts or to produce golden beers with a fuller body. Used in Märzen, Festbier, Vienna Lager and other light beers.",
68e218db-2bc7-4132-b749-40f2729ea6d5,Munich Malt,Agraria,base,grain,EBC,4.5,79,,,,25,150,12.5,,2,,100,,,220,,1.6,,,,,Brazil,"Base malt made from 100% domestic two-row barley. It highlights the malty aroma and obtaining more intense colorings. For dark beers, like Munich, Black and Bock. Exceptional result, in small doses, for Pilsen type beers.",
8b3e3409-8b63-47dc-a741-33b4d1673179,Terroir Paulista Vienna,Atelier Do Malte,specialty,grain,EBC,6,78,,,,10,200,12,,1.92,,80,120,,200,15,1.6,5,41,,,Brazil,"It is considered a special dark malt but can be used as a base malt or in combination with other types of malt, Vienna  is a well-modified malt, and has enough enzymes for use in high percentages in the recipe. The curing time and temperature are not extreme, just above Pale Ale malt. Its degree of modification and more intense roasting provides intense flavor and color to the beer . ",
3843a319-3a30-4bfb-bcfe-bad30d5ef0dd,Terroir Paulista Pale Ale,Atelier Do Malte,specialty,grain,EBC,4,79,,,,6,200,12,5.4,1.92,,100,120,,200,15,1.6,5,41,,,Brazil,"Generally used as a base malt or in combination with other types of malt, Pale Ale  is considered a special malt because it is more modified, that is, because it presents a greater degree of degradation of b-Glucans and greater production of enzymes, providing a more pronounced flavor and color than that of Pilsen malt. The curing time and temperature are not extreme, which allows the enzymes to support  the use of special non-enzymatic malts such as caramel or roasted.",
2ee25df0-9630-4d6e-bed3-9034ce8a69fc,Terroir Paulista Pilsen,Atelier Do Malte,base,grain,EBC,6,79,,,,3.5,200,12,5.4,1.92,,100,120,,200,15,1.6,5,41,,,Brazil,"It is considered a base malt because it has an excellent enzymatic power and that even together with portions of other malts of lower enzymatic power (caramels and / or roasted) it is able to “digest” all the starch in smaller sugars providing an excellent amount of simple sugars for yeast , that is, extract. For the maintenance of a light color and with a high level of enzymes, pilsen malt does not force its modification and must be taken care during drying so that the curing temperature is sufficient for elimination of DMS precursors and inactivation of oxidative enzymes and development of flavor without, however, compromising the proteolytic and amylolytic enzymes needed in brazing.",
0f2f8685-0aa6-48e8-b24e-501ee6f6fc90,Terroir Paulista Carapálida ,Atelier Do Malte,specialty,grain,EBC,6,78,,,,6.5,150,5.4,5.4,0.864,,30,120,,200,50,1.6,5,41,,,Brazil,"Caramel malt is a special well-modified malt where, at the beginning of drying, it is ""stuffed"" for gelatinization and saccharification of starch and formation of dextrins, responsible for the increase in the body of the beer. The curing temperature, different from the other caramels, is not very high which causes a very mild caramelization, but a strong sweet flavor. Due to the fact that it is subjected to high humidity temperatures, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts.",
5210e7e3-ece3-4c82-8fa3-ad6b5266368a,Terroir Paulista Munich,Atelier Do Malte,specialty,grain,EBC,6,75,,,,20,150,12,5.4,1.92,,40,120,,200,15,1.6,5,41,,,Brazil,"Munich malt is a special, well-modified malt that undergoes a short “stuffing” process at low temperature for the action of proteases and the production of precursors to the flavor of “toasted bread”. Drying is done at low temperatures and during curing it is subjected to high temperatures to gain color. There is a loss of mild enzymatic power due to high curing temperatures and should therefore be used in mixture with base malts. ",
814cafa6-9843-49fd-9608-987d0f98610f,Terroir Paulista Biscoito / Melanoidina,Atelier Do Malte,specialty,grain,EBC,6,72,,,,55,150,12,5.4,1.92,,25,120,,200,50,1.6,5,41,,,Brazil,"The biscuit malt is a special well modified malt and in the same way that the caramel goes through a ""stewing"" process at low temperatures for the action of proteases and production of the precursors of the ""toasted bread"" flavor. This malt is longer to cure at higher temperatures for the development of intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. ",
4a0c1826-f010-4ec5-93eb-5d49c02a2b80,Terroir Paulista Caramelo 1,Atelier Do Malte,caramel,grain,EBC,6,75,,,,35,150,12,5.4,1.92,,30,120,,200,50,1.6,5,41,,,Brazil,"Caramel malt is a special well-modified malt where, at the beginning of drying, it is ""stuffed"" for gelatinization and saccharification of starch and a higher curing temperature for caramelization of sugars. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. ",
f33ecf1d-df6c-491a-ad43-2a340bf9d86a,Terroir Paulista Caramelo 2,Atelier Do Malte,caramel,grain,EBC,6,75,,,,55,150,12,5.4,1.92,,25,120,,200,50,1.6,5,41,,,Brazil,"Caramel 2 malt is a special well-modified malt and in the same way that caramel goes through a “stuffing” process at higher temperatures for the action of amylases and the production of precursors of the “caramel” flavor. This malt is longer to cure at higher temperatures for the development of intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. ",
121f8c4b-8a9a-4f5e-b152-2d992d338258,Terroir Paulista Caramelo 3,Atelier Do Malte,caramel,grain,EBC,6,75,,,,100,150,12,5.4,1.92,,20,120,,200,50,1.6,5,41,,,Brazil,"Caramel 3 malt is a special well-modified malt and in the same way that caramel goes through a ""stuffing"" process at higher temperatures for the action of amylases and the production of precursors of ""caramel"" flavor. Curing of this malt is longer at higher temperatures for the development of the desired intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. ",
99e53b9d-2c86-404b-88d6-0c2f010c6cbb,Terroir Paulista Caramelo 130 EBC,Atelier Do Malte,caramel,grain,EBC,6,74,,,,140,150,12,5.4,1.92,,20,120,,200,,1.6,5,41,,,Brazil,"Darker caramelized malt. Provides a strong sweet taste of caramel and baked bread, as well as a darker golden color to your beer. It is a malt that goes through the ""stuffing"" process to produce sugars and caramelize causing vitrification of part of the starch, which contributes to providing more body to the beer like other caramel malts, and also good production and retention of foam.",
