Name,Flavors,Alpha-Acids Low (%),Alpha-Acids High (%),Beta-Acids Low (%),Beta-Acids High (%),Total Oil Low (ML/100G),Total Oil High (ML/100G),Myrcene Low (%),Myrcene High (%),Linalool Low (%),Linalool High (%),Total Polyphenols Low (%),Total Polyphenols High (%),Sum Of Terpene Alcohols,Total Oil Minus Myrcene,Country,Description
Marco Polo,"Lemon, Lemon blam, Gooseberry, Oregano, Elderflower",12,13 ,4.5,5.5 ,50 ,,40,,,,,,,,China,In China on 8 % of the  acreage Marco Polo (makepoluo 马可泼罗) is grown.
Wye Target,"Tobacco, Elderberry, Caramel, Vanilla, Cognac",9.5,12.5 ,4.3,5.7 ,55 ,1.4,45,,0.8,1 ,,,,,Great Britain,"Bred at Wye College, released in 1976, and the most widely grown British hop. Very high bitter value, very good stability average aroma. A flexible hop that may be used to effectively bitter a wide variety of both Ales and Lagers. Unusually effective for dry hop aroma in IPAs, and potentially Pilsners too. Would also lend itself well to Saison."
Centennial,"Aniseed, Citrus, Floral",9.5,11.5 ,3.4,4.5 ,55 ,2.5,45,,,,,,,,United States,"Named after the Washington State festival. Centennial is an aroma-type cultivar, bred in 1974 and released in 1990. Centennial works well in Pale Ales and India Pale Ales, where some bottomline bitterness is needed with the top end aroma."
Chelan,"Strawberry, Yoghurt, Cream",12,14.5 ,8.5,9.8 ,55 ,1.9,45,,,,,,,,United States,"Chelan is a high alpha acids variety with a very high percentage of beta acids. The variety was developed through the John I. Haas, Inc., breeding program and released in 1994. It is a daughter of Galena and therefore has analytical data similar to Galena. Cone yields and percentages of alpha acids are higher than for Galena, maturity is medium and storage is excellent as it is in Galena."
Harmonie,"Banana, Creamy, Green tea, Apricot, Caramel",5,8 ,5,8 ,40 ,1.4,30,,0.9,1.4 ,2.7,3.5 ,,,Czech Republic,"Robust growth in, with long cylindrical rachides, fruitful rachides medium high, thick vine, red, medium dense deployment cone."
Herkules,"Melissa, Orange, Honeydew Melon, Lemon grass, Peppermint",12,17 ,4,5.5 ,50 ,2.4,30,,0.3,0.8 ,3,4 ,,,Germany,"A robust, high-yielding, high bittering hop cultivar tolerant to various diseases has been released in 2006 by the Hop Research Center Hüll. Excellent brewing quality combined with very good storage stability increases the value of Herkules for the brewing industry. Use in Pilsners, German style Lagers & Alt."
Sorachi Ace,"Over-ripe orange, Lychee, Lemon grass",12,16 ,6,8 ,45 ,1.5,40,,0.5,0.8 ,,,,,Japan,"Sorachi Ace was developed in 1984 for Sapporo Breweries Ltd. From (Brewer’s Gold and Saazer-OP) x Beikei No. 2 (as a male) and is named after Sorachi, a subprefecture in Hokkaido.
The aroma variety produces a good yield and is particularly resistant to powdery mildew, wilt and botrytis with a relatively high Alpha Acid content (12-16%) and also a high oil content (2-3 ml/100g). The original breeding objective was to develop a variety that was very similar to Saaz, but had a higher alpha content. Today, Sorachi Ace is grown only in the USA"
Aurora,"Bergamot, Lemon grass, Aniseed, Citrus, Flora",7,9 ,3,5 ,53 ,1.4,35,,,,,,,,Slovenia,Aurora (Super Styrian) has an intense and pleasant hoppy aroma. Aurora has a very good storage stability. Beer prepared with this variety has good organoleptical scores. The yield of a-acids is very good when brewing with this variety. Aurora is very suitable for extraction and for combination with other varieties in the brewing process.(from the website)
Crystal,"Passion fruit, Lime, Camomile blossom, Apricot, Lemon grass",4,6 ,5,6.7 ,65 ,2.1,40,,,,,,,,United States,"Triploid variety developed from the German aroma hop variety Hallertauer Mittelfrueh with primary contributions from Cascade, Brewer’s Gold and Early Green. Released in 1993. Very popular in US craft brewing as triploid Hallertauer."
Hallertauer Taurus,"Chocolate, Pepper, Ripe banana",12,17 ,4,6 ,50 ,1.4,30,,1,1.5 ,3,4 ,,,Germany,"Huell bred high alpha variety with a very high alpha content and noble, aromatic bitter quality. Small and very compact cones which allow clean, mechanical picking and easy drying are also a feature of Taurus."
Hersbrucker Spät,"Citrus, Black tea, Melissa, Marjoram",1.5,4 ,2.5,6 ,30 ,1,15,,0.5,1 ,5,6 ,,,Germany,"A traditional variety with good to very good aroma but sometimes rather low bitter content. It is considered as a successor of Hallertauer Mittelfrueh and has a good tolerance to diseases. Used for Lagers, Pilsners, Bocks, Weizen Bocks, Wheats, Belgian-Style Ales, Kolsch and Munich Helles."
First Gold,"Marjoram, Celeriac, Strawberry, Yoghurt",5.6,8.7 ,2.3,4.1 ,28 ,1.5,27,,0.4,0.6 ,,,,,Great Britain,"First Gold is a dwarf variety which is very suitable both as a general kettle hop and also for late and dry hopping in all types of beer. First Gold has excellent aroma qualities and much of the flavour character of Whitbread Golding seems to have been retained, producing a well-balance bitterness and a fruity, slightly spicy note in ales. The combined floral and fruit aromas are ideal for modern Blonde, Pale Ale and IPA’s, Belgian Blond & Tripels, Biére de Garde and Saison as well as American Pale Ales. Also suitable for modern Pilsners."
Hallertau Blanc,"Lemon grass, Cassis, Elderflower, Grapefruit, Grapes",9,11 ,4,7 ,1.5,1.8,,,,,3,5.9 ,,,Germany,"New variety with a bouquet of white muscatel and also mango, gooseberry and grapefruit aroma notes. The variety was bred at Hüll and was released 2012. This variety is one of the varieties which have been bred and planted in hop fields in response to demand from the craft beer industry and its desire for bold tastes and differentiating flavors."
Loral®,,10,12 ,4.5,5.5 ,39 ,2.5,37,,1,1.4 ,,,,,United States,"HBC 291 is an experimental cultivar that shows a more traditional yet unique hop character providing the herbal, floral and spicy notes one would expect from a noble aroma hop.  Its mother is the U.S. developed aroma variety Glacier.  The father of HBC 291 is a son of the U.S. developed commercial variety Nugget. HBC 291 has numerous small, dense cones with moderate alpha acids."
Sladek,"Passion fruit, Strawberry, Cassis, Grapefruit, Peach",5,9 ,8,11 ,40 ,1,25,,0.15,0.3 ,3.5,5 ,,,Czech Republic,"Hybrid aroma variety of Saaz type with excellent impact on hoppy taste and aroma of beer. Late variety. High yield. Sladek, as an aroma hop, is recommended for the second hopping."
Brewers Gold,"Lemon, Redcurrant, Melissa, Spices",4.5,6.5 ,2.5,3.5 ,50 ,1.8,40,,,,,,,,Great Britain,"Prof. E.F. Salmon of Wye College in Kent, England, has been responsible for breeding the variety Brewers Gold This variety is not only well known all over the world, but has been used in breeding processes for breeding  around the globe, due to its moderate alpha acid content, high yield, and vigorous growth."
Celeia,"Lemon tea, Thyme, Peppermint, Lime",3,6.5 ,2,3.3 ,40 ,3.6,26,,0.6,1.2 ,,,,,Slovenia,Celeia is knwon for a noble hoppy aroma and a pleasant bitterness.
East Kent Golding,"Citrus, Artichoke, Spicy, Woodruff, Gingerbread",4.5,6.5 ,1.9,2.8 ,28 ,0.8,18,,0.5,0.8 ,,,,,Great Britain,"Developed from wild Canterbury Whitebine variety in late 1700’s. Kent is a Region in England, home to Canterbury, where this variety was brought to the market in 1790. Gentle, fragrant, and pleasant. Recognised as having the most typical English aroma, with the best flavour historically coming from East Kent, this hop is in demand for copper-hopping and dry hopping of traditional ales. Goldings are also found to be useful for late hopping lagers, when a delicate aroma is required. Widely used and to great effect in many of the paler British Bitters, Pale and Blonde ales and ESB’s. Also effective in Belgian Blond and Tripel styles, Saison, Kölsch and lighter Lagers."
Enigma™,"Nutmeg, Passion fruit, Red currant, Camomile, Rose hip",13.5,16.5 ,4.8,6.4 ,35 ,3,20,,0.3,0.4 ,,,,,Australia,"Cultivated through our in-house breeding program, Enigma™ is the newest  hop in the Hop Products Australia family. Enigma™ is a descendant of the German Tettnang hop. After winning over Aussie brewers with her beguiling ways in trial brews, we expanded our plantings at our Tasmanian farm in 2013, ready for her first generous crop in 2015."
