Name,Flavors,Alpha-Acids Low (%),Alpha-Acids High (%),Beta-Acids Low (%),Beta-Acids High (%),Total Oil Low (ML/100G),Total Oil High (ML/100G),Myrcene Low (%),Myrcene High (%),Linalool Low (%),Linalool High (%),Total Polyphenols Low (%),Total Polyphenols High (%),Sum Of Terpene Alcohols,Total Oil Minus Myrcene
Admiral,"Tea, Ripe Kiwi, Lemony",13,16,4.8,6.1,1,1.7,39,48,0.8,1,,,,
Agnus,"Lavender, Lovage, Leather, Tobacco",9,12,4,6.5,2,3,40,55,0.4,0.8,2.3,3.5,,
Ahtanum™,"Apple blossom, Jasmine, Geranium, Tea, Elderflower",5.7,6.3,5,6.5,0.8,1.2,50,55,,,,,,
Amarillo™ VGXP01,"Black tea with lemon, Melon, Apricot, Grapefruit",8,11,6,7,1.5,1.9,68,70,,,,,,
Aramis,"Mint, Lemon grass, Rose, Raspberry, Caramel",7.9,8.3,3.8,4.5,1.2,1.6,,,,,3.6,5.1,,
Ariana,"Passion fruit, Pineapple, Quince, Jasmine, Tangerine",10,13,4.5,6,1.6,2.4,47,57.6,0.5,0.6,2.9,3.3,,
Aurora,"Bergamot, Lemon grass, Aniseed, Citrus, Flora",7,9,3,5,0.9,1.4,35,53,,,,,,
Azacca™,"Gooseberry, Celeriac, Grapefruit, Pineapple, Peach",14,16,4,5.5,1.4,2,46,55,,,,,,
Boadicea,"Peppermint, Barrique, Tobacco, Lime, Liquorice",8,9,3,4,1.3,1.5,30,34,0.2,0.4,,,,
Bobek,"Artichoke, Hay, Lemon, Sage",3.5,7.8,4,6.1,0.7,4,49,77,0.9,1.3,,,,
Bramling Cross,"Chrysanthemum, Bitter grapefruit, Caramel, Gooseberry, Vanilla",6,7,2.2,2.8,0.7,1,34,38,,,,,,
Brewer’s Gold,"Lemon, Redcurrant, Melissa, Spices",4.5,6.5,2.5,3.5,0.8,1.8,40,50,,,,,,
Callista,"Strawberry, Pear, Caramel, Passion fruit, Orange",2,5,5,10,1.4,2.1,54,63.5,,,4.1,6.2,,
Cascade (US),"Strawberry, Citrus, Blackberry, Lychee, Toffee",4.5,7,4.8,7,0.7,1.4,45,60,,,4.5,4.9,,
Cashmere,,7.7,9.1,3.5,4.5,1.2,1.4,39,42,,,,,,
Celeia,"Lemon tea, Thyme, Peppermint, Lime",3,6.5,2,3.3,1.5,3.6,26,40,0.6,1.2,,,,
Centennial,"Aniseed, Citrus, Floral",9.5,11.5,3.4,4.5,1.5,2.5,45,55,,,,,,
Chelan,"Strawberry, Yoghurt, Cream",12,14.5,8.5,9.8,1.5,1.9,45,55,,,,,,
Chinook,"Red Berries, Fennel, Basil, Elderberry, Lychee",12,14,3,4,1.7,2.7,35,40,,,,,,
Citra®,"Jasmine, Spicy, Gooseberry, Lychee, Geranium",11,13,3.5,4.5,2.2,2.8,60,65,1,2,4.5,5.5,,
Cluster (US),"Strawberry, Lemon tea, Apricot, Creamy, Grapefruit",5.5,8.5,4.5,5.5,0.4,0.8,45,55,,,,,,
Columbus,"Lemon grass, Vanilla, Orange peel, Curry",15,17,4.5,5,2.5,3.5,50,60,,,,,,
Comet,"Mandarin, elderberry sirup, Geranium, Lemon grass, Resin",9.4,12.4,3,6.1,1.4,3.3,40,65,,,,,,
Crystal,"Passion fruit, Lime, Camomile blossom, Apricot, Lemon grass",4,6,5,6.7,0.8,2.1,40,65,,,,,,
Diamant,"Fennel, Lavender, Citrus",,,,,,,,,,,,,,
East Kent Golding,"Citrus, Artichoke, Spicy, Woodruff, Gingerbread",4.5,6.5,1.9,2.8,0.4,0.8,18,28,0.5,0.8,,,,
Ekuanot®,"Guava, Fennel, Strawberry, Grapefruit, Gooseberry",14.5,15.5,4.5,5.5,2.5,4.5,30,45,,,,,,
Ella™,"Citrus, Lavender, Bergamot oil, Sage, Melissa",13.3,16.3,4,10,2.4,3.4,33,43,0.5,0.6,,,,
Endeavour,"Blackberry, Bergamot, Gingerbread, Lemon, Watermelon",7.5,10.6,3.8,5.3,1.2,1.8,27,37,,,,,,
Enigma™,"Nutmeg, Passion fruit, Red currant, Camomile, Rose hip",13.5,16.5,4.8,6.4,2.4,3,20,35,0.3,0.4,,,,
Extra Styrian Dana,"Juniper, Orange, Wild garlic, Pear",12.5,18.8,4.2,6,2.4,3.9,42,60,0.5,1,,,,
First Gold,"Marjoram, Celeriac, Strawberry, Yoghurt",5.6,8.7,2.3,4.1,0.7,1.5,27,28,0.4,0.6,,,,
Fuggle,"Curry, Celeriac, Green tea, Hay",3,5.6,2,3,0.7,1.4,24,28,0.5,0.7,,,,
Galaxy ®,"Peach, Blackberries, Blueberries, Cassis, Aniseed",11,16,5,6.5,2.4,2.7,33,49,0.5,0.8,,,,
Galena,"Lime, Gooseberry, Pear, Pineapple",11.5,13.5,7.2,8.7,0.9,1.3,55,60,,,,,,
Glacier,"Plum, Elderflower, Artichoke, Vanilla, Blackberry",3.3,9.7,5.4,9.7,0.7,1.6,33,62,,,,,,
Hallertau Blanc,"Lemon grass, Cassis, Elderflower, Grapefruit, Grapes",9,11,4,7,1.5,1.8,,,,,3,5.9,,
Hallertauer Magnum,"Apple, Lemon, Mint, Chocolate, Green peppers",11,16,5,7,1.6,2.6,30,45,0.2,0.7,2,3,,
Hallertauer Mittelfrüher,"Aniseed, Blackberry, Liquorice, Citrus fruits, Bergamot",3,5.5,3,5,0.7,1.3,20,28,0.7,1.1,4,5,,
Hallertauer Taurus,"Chocolate, Pepper, Ripe banana",12,17,4,6,0.9,1.4,30,50,1,1.5,3,4,,
Hallertauer Tradition,"Apricot, Peach, Cassis, Citrus, Orange",4,7,3,6,0.5,1,17,32,0.7,1.2,4,5,,
Harmonie,"Banana, Creamy, Green tea, Apricot, Caramel",5,8,5,8,0.9,1.4,30,40,0.9,1.4,2.7,3.5,,
Herkules,"Melissa, Orange, Honeydew Melon, Lemon grass, Peppermint",12,17,4,5.5,1.6,2.4,30,50,0.3,0.8,3,4,,
Hersbrucker Spät,"Citrus, Black tea, Melissa, Marjoram",1.5,4,2.5,6,0.5,1,15,30,0.5,1,5,6,,
Hüll Melon,"Wild strawberry, Geranium, Peach iced tea, Aniseed",7,8,6,8,0.8,2.1,26,42,0.2,0.3,3,4.6,,
Kazbek,"Raspberry, Peach, Orange, Passion fruit, Chocolate",5,8,4,6,0.9,1.8,40,55,0.3,0.5,3.5,4.5,,
Loral®,,10,12,4.5,5.5,1.5,2.5,37,39,1,1.4,,,,
Lublin,"Lemon tea, Curry, Dill, Juniper, Floral",3,4.5,3,4,0.5,1.1,22,29,,,3.7,5.9,,
Magnat,"Citrus, Woody, Camomile blossom, Kitchenherbs, Lemon cake",11,16,3,7,1,2,30,59,,,,,,
Mandarina Bavaria,"Pineapple, Lemon, Strawberry, Gooseberry, Cassis",7,10,4,7,1.5,2.2,,,,,2.3,2.7,,
Marco Polo,"Lemon, Lemon blam, Gooseberry, Oregano, Elderflower",12,13,4.5,5.5,,,40,50,,,,,,
Marynka,"Hay, Liquorice, Lemon, Grapefruit, Aniseed",9,12,10.2,13,1.8,2.2,28,31,,,3.8,4.3,,
Millennium,"Strawberry, Elderflower, Chocolate, Toffee, Pear",14.5,16.5,4.3,5.3,1.8,2.2,30,40,,,,,,
Monroe,"Strawberry, Passion fruit, Cherry, Red currant, Plum",2.8,2.9,6.5,7.5,,,,,,,4.4,4.8,,
Mosaic®,"Gooseberry, Pear, Mandarin, Lime, Peach",11.5,13.5,3.2,3.9,1,1.5,47,61,,,,,,
Mount Hood,"Honey, Tarragon, Lemon tea, Lemon cake, Fennel",4,7,5,8,1.2,1.7,30,40,0.5,0.7,,,,
National,"Chocolate, Bergamot, Straw, Gerbera, Wild garlic",5,6,,,,,,,,,,,,
Northern Brewer (US),,8,10,3,5,1.5,2,,,,,,,60,50
Nugget,"Lemon, Lychee, Geranium, Pineapple",9,13,3,5,0.9,1.3,27,42,0.5,1,3,4,,
Opal,"Citrus, Bergamot, Apricot, Aniseed, Liquorice",5,8,3.5,5.5,0.8,1.3,20,45,1,1.5,3,5,,
Pahto,"Earth, Pepper, Plum, Resin",17,20,4.5,6,,,48,52,,,,,,
Palisade®,"Apricot, Orange, Passion fruit, Honey, Yoghurt",5.5,9.5,6,8,1.4,1.6,9,10,,,,,,
Perle,"Leek, Celeriac, Chilli, Marjoram",4,9,2.5,4.5,0.5,1.5,20,35,0.2,0.6,3,5,,
Pilgrim,"Peppermint, Herbs, Lime, Marjoram",10,13,4,5.5,1,1.8,24,33,,,,,,
Polaris,"Banana, Woodruff, Bergamot, Pineapple, Mint",18,24,5,6.5,2.4,4.4,,,,,2.6,2.7,,
Premiant,"Jasmine, Passoin fruit, Lavender, Chocolate, Lemon grass",7,11,3.5,6,0.9,1.3,35,50,0.4,0.7,4,5,,
Progress,"Cassis, Creamy, Coriander",6,7.5,2,2.7,0.5,0.8,24,28,,,,,,
Relax,"Cognac, Lychee, Rose hip, Lavender, Leather",0.3,1.5,10,15,1,1.3,17,30,0.3,0.5,,,,
Saaz Late,"Passion fruit, Lemon, Raspberry, Blackberry, Camomile tea",3.5,6,4,6.5,0.5,1,25,35,0.2,0.4,5,6,,
Saaz,"Bergamot, Honey, Woody, Camomile tea, Spicy",3,6,4.5,8,0.4,1,25,40,0.4,1,5.5,7,,
Saphir,"Lemon grass, Black tea, Strawberry, Juniper, Citrus",2,4.5,4,7,0.8,1.4,25,40,0.8,1.3,4,5,,
Simcoe®,"Blackberries, Berries, Grapefruit, Plum",12,14,4,5,2,2.5,60,65,,,,,,
Sladek,"Passion fruit, Strawberry, Cassis, Grapefruit, Peach",5,9,8,11,0.8,1,25,40,0.15,0.3,3.5,5,,
Smaragd,"Camomile tea, Tarragon, Butter, Liquorice, Cognac",4,6,3.5,5.5,0.4,0.8,20,40,0.9,1.4,4,6,,
Sorachi Ace,"Over-ripe orange, Lychee, Lemon grass",12,16,6,8,1,1.5,40,45,0.5,0.8,,,,
Sovereign,"Quince, Gingerbread, Green pepper, Cherry",4.5,6.5,2.1,3.1,0.5,1,25,30,,,,,,
Spalt Spalter,"Tea, Barrique, Ripe banana, Tonka beans, Woodruff",2.5,5.5,3,5,0.5,0.9,20,35,0.5,0.8,5,6,,
Spalter Select,"Citrus, Woody, Black tea, Camomile blossom",3,6.5,2.5,5,0.6,0.9,20,40,1,1.5,4,5,,
Strisselspalt,"Citrus, Lemon grass, Cassis, Grapefruit, Eukalyptus",1.8,2.5,3,6,0.45,1.15,35,52,0.7,0.9,3.5,3.8,,
Styrian Gold,"Oregano, Honey, Hay, Basil, Nettle",3.5,6.5,3.5,5.9,1.3,2.3,38,47,1.3,2.3,,,,
Styrian Golding,"Lemon tea, Peppermint, Lemon grass",4.5,6,2.5,3.5,0.5,1,27,33,0.8,1,,,,
Summer,"Vegetable, Fennel, Tarragon, Aniseed, Melissa",4,7,4.8,6.1,0.9,1.3,5,13,0.3,0.5,,,,
Summit™,"Wild garlic, Aniseed, Gooseberry, Incense, Pepper",16,18,4,6,1.5,2.5,35,50,,,,,,
Super Galena,"Plum, Juniper, Honey, Strawberries",13,16,8,10,1.5,2.5,45,60,0.3,0.5,,,,
Super Pride,"Spicy, Chocolate, Curry, Gingerbread, Marjoram",13,15.5,4.5,8,1,1.4,25,50,0.3,0.6,,,,
Sybilla,"Chocolate, Orange, Gingerbread, Barrique, Tobacco",6.5,8,3,5,1.2,2.1,30,50,0.1,0.3,,,,
Tahoma,,7.2,8.2,8.5,9.5,1,2,67,72,,,,,,
Talus™,"Pink Grapefruit, Pine, Resin, Dried Roses",8.1,9.5,8.3,10.2,,,40,50,,,,,,
Tettnanger,"Floral, Bergamot, Lily of the Valley, Cognac, Chocolate",2.5,5.5,3,5,0.5,0.9,20,35,0.4,0.9,5,6,,
Topaz™,"Blackberry, Grapefruit, Blueberry, Passion fruit, Spicy",15.5,18,6,7,1.7,2.2,25,43,0.3,0.8,,,,
Triple Pearl,,10.3,11.2,3.3,4.2,1.1,1.8,39,55,,,,,,
Triskel,"Artichoken, Pepper, Tobacco, Honeydew melon, Nettle",8,9,4,4.7,1.5,2,,,,,3.7,5.4,,
Tsingdao Flower,"Grapefruit, Cream, Cassis, Tabacco",6,8,3,4.2,0.4,0.8,45,55,,,,,,
Vic Secret,"Pineapple, Pepper, Ginger, Pear",14,17,6.7,7.8,2.2,2.8,38,41,0.2,0.6,,,,
Vital,"Plum, Lavender, Liquorice, Melissa",12,16,6,10,1.5,2.5,40,60,0.5,0.9,3.5,4.5,,
Warrior®,"Tea, Chocolate, Marjoram, Lemon grass",14.5,16.5,4.3,5.3,1.3,1.7,40,50,,,,,,
Whitbread Golding Variety (WGV),"Fig, Banana, Liquorice, Apricot",5.4,7.7,2,3.3,0.8,1.2,24,27,,,,,,
Willamette,"Citrus, Elderberry, Incense, Caramel, Curry",4,6,3.5,4.5,1,1.5,30,40,,,,,,
Wye Challenger,"Banana, Gingerbread, Cognac",6.5,8.5,2.5,4.3,1,1.5,28,32,,,,,,
Wye Target,"Tobacco, Elderberry, Caramel, Vanilla, Cognac",9.5,12.5,4.3,5.7,1.2,1.4,45,55,0.8,1,,,,
Zeus,"Fennel, Aniseed, Melissa, Nettle, Citrus",15,17,4.5,5,2.5,3.5,50,60,,,,,,
