ID,Name,Purpose,Alpha Acid Low (%),Alpha Acid High (%),Beta Acid Low (%),Beta Acid High (%),Co-Humulone Low (%),Co-Humulone High (%),Country,Storability,Total Oil Composition Low (mL/100g),Total Oil Composition High (mL/100g),Myrcene Oil Low (%),Myrcene Oil High (%),Humulene Oil Low (%),Humulene Oil High (%),Caryophyllene Oil Low (%),Caryophyllene Oil High (%),Farnesene Oil Low (%),Farnesene Oil High (%),Linalool Oil Low (%),Linalool Oil High (%),Polyphenols Oil Low (%),Polyphenols Oil High (%),Substitutes,Style Guide,Also Known As,Characteristics,Description
,Outeniqua,Bittering,12,13.5,4.1,5.1,25,30,South Africa,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.6,1.6,38,43,28,33,9,10,0,1,,,,,Southern Star,Pilsner,,,"Mild, pleasant and slightly spicy, Outeniqua is an excellent, high alpha bittering hop from the land of milk and honey—a moniker of the South African region where it is grown. Primarily used only locally, Outeniqua features a well-balanced oil profile and a strong, punchy, hoppy aroma. Outeniqua is also the mother of high-alpha variety, Southern Star."
,Pilot,Bittering,8,11.5,3.3,5,28,37,UK,,0.8,1.4,30,40,,,,,1,,,,,,,,,,"Pilot is a high-yielding hedgerow variety, well resistant to wilt, but not to mildew. Bred at Wye College and released in 2001, it’s oil balance makes it distinct from most other English hops. It is said to have excellent, clean and refreshing bittering qualities with spicy aromatics of lemon and marmalade."
,Lubelska-Pulawy,Aroma,5,7,3,5,23,25,Poland,Retains 55% alpha acid after 6 months storage at 20ºC (68ºF),0.88,,52,,14,,4,6,12,,,,,,"Brewer’s Gold, Nugget, Glacier",,"Lubelski-Pulawy, Polish Lublin",Pleasant European characteristics,"First entering commercial production in 1964, Lubelska-Pulawy is a Polish-grown variety descended from the original Czech hop Lubelska, or Lublin as it is sometimes known. It was grown by the Hop Institute in Pulawy, Poland in an effort to better mold the variety to local conditions and increase alpha potential. It is said to have pleasant European characteristics, unsurprising given its Saaz roots."
,Pacifica,Aroma,5,6,6,,25,,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.,,12.5,,50.9,,16.7,,0.2,,,,,,Liberty,Porter,Pacific Hallertau,"Citrusy, spicy, orange and floral aromas","Bred in New Zealand, triploid aroma hop Pacifica, or Pacific Hallertau as it is sometimes known, is the result of open pollination breeding of German hop Hallertauer Mittelfrüher. The hop was released by HortResearch, New Zealand following promising brewing trials in 1994."
,Sun,Bittering,12,16,4.5,7,30,40,US,,,,55,70,10,15,5,10,1,,,,,,"Magnum, Galena, Zeus","Barley Wine, Imperial Stout",,Pronounced herbaceous aroma and flavor,"Currently considered as in-development at the S. S. Steiner Hop Farms in Washington State, Sun has not yet been registered or acquired USDA accession. Not much is known about its lineage yet but it is thought to be derived from Brewer’s Gold and sister to Zeus. It has also been suggested that it possesses characteristic similarities to Galena."
,Zlatan,Aroma,5.2,,4.3,,21,,Czechia,,,,,,,,,,,,,,,,,,,"Mild bitterness, pleasant noble aroma","Released in 1976, Zlatan is native to Czechia and is one of a great many clonal selections of Saaz. Created by the Hop Research Institute in Zatec, it, like many other Saaz clones were selected in an attempt to improve yields while retaining its parent’s signature aroma profile."
,Bramling Cross,"Bittering, Aroma",5,7.8,2.3,3.2,33,35,UK,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.7,1.2,35,40,28,33,14,18,0,1,,,,,"Whitbread Golding, Progress, East Kent Golding","Golden Ale, Strong Ale,Stout, Porter",,"Notes of lemon, blackcurrant, blackberries and plums particularly when used as a late addition.",Bramling Cross is a rather rare breed and is mostly available in the UK. First harvested in 1927 at Wye College its lineage is a cross between Golding and a wild Manitoban (Canadian) hop. It is considered well suited to cask conditioned recipes as well as Christmas and fruit beers.
,Neo1,"Bittering, Aroma",7,9,3,3.3,,,US,,,,,,,,,,,,,,,,,,,Significant lemon-citrus character,"Neo1 is another neomexicanus breed, this time with a potent lemon-citrus character. Native to New Mexico, it is a true sun-worshipping hop, with quite lively growth when exposed to maximum sunlight. It is also said that Neo1 is naturally pest resistant due to its abundance of limonene and linalool. Noe1 is a sister to Amallia."
,Amethyst,Aroma,2,6,7,8,20,28,Czech Republic,,0.4,,42,,19,,6,,,,,,,,,"Pale Ale, Lager",,"Notably earthy, citrusy and spicy","Amethyst is an aroma hop from the Czech Republic and is a derivative of Saaz. It features a notably low alpha acid percentage and notes of earthy, citrus and spice. Amethyst’s aroma profile is suited well to full-bodied lagers and pale ales."
,Aquila,Aroma,6.7,8.9,4.1,4.9,46,,US,Retains 40% alpha acid after 6 months storage at 20ºC (68ºF),1.45,,62,,2,,5,,2.2,,,,,,"Cluster, Galena",Belgian Farmhouse Ale,,,"Aquila was developed in the U.S. and was established in three-acre commercial trials throughout the Northwest in 1988. It was officially released in 1994 but due to its overly high cohumulone content, its use was been considered limited and it is no longer available commercially. North American brewing giant Anheuser Busch lost interest in the variety in 1996, ultimately spelling a death knell for Aquila’s commercial record."
