ID,Name,Purpose,Alpha Acid Low,Alpha Acid High,Beta Acid Low,Beta Acid High,Co-Humulone Low,Co-Humulone High,Country,Storability,Total Oil Composition,Myrcene Oil Low (mL/100g),Myrcene Oil High (mL/100g),Humulene Oil Low,Humulene Oil High,Caryophyllene Oil Low,Caryophyllene Oil High,Farnesene Oil Low,Farnesene Oil High,Linalool Oil Low,Linalool Oil High,Polyphenols Oil Low,Polyphenols Oil High,Substitutes,Style Guide,Also Known As,Characteristics,Description,Flavors
7b7f581b-1d58-4629-b626-0184d80f2828,Admiral,Bittering,13,16.2,4.8,6.1,37,45,UK,Retains 85% alpha acid after 6 months storage at 20 degrees C,Easy to moderate,1,1.7,39,48,23,26,6,7,0.8,1,,,1.8%-2.2%,"Chinook, Northdown, Challenger, Centennial, Cascade (US), Amarillo, Target",,Aggressive but smooth bittering with an orange-citrus and herbal resonance,"Admiral is an excellent mid-season hops variety derived from grandparent Challenger and likely parent, Northdown. Its exact lineage is unclear. Hailing from Wye College, England it was released to the brewing world in 1998 as a potential high-alpha replacement or complimentary addition to Target hops.","Tea, Ripe Kiwi, Lemony"
6a8c51d3-787f-4c0d-81f7-f9f3f78e69e0,Agnus,"Bittering, Aroma",9,12,4,6.5,4,6.5,Czechia,Fair to poor,2 - 3,2,3,40,55,15,20,8,10,0.4,0.8,2.3,3.5,1%,,,Strong spicy and herbal notes,"Agnus is the first high-alpha bittering hop to come out of the Czech Republic. It’s name is derived from Czech hop breeder Frantisek Beranek, who’s surname translated into Latin is Agnum – or Lamb in English. Registered in 2000 and released the following year, Agnus is a bittering hop with strong spicy and herbal notes and has been compared by some to Nugget and Magnum.","Lavender, Lovage, Leather, Tobacco"
b9e44b0d-5514-402e-90dd-571aa90160aa,Ahil,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ahil hops are somewhat hard to come by with its cultivation in Slovenia having been severely reduced. There has also been some confusion over its true classification. It was introduced as a Superstyrian hop in 1972 care of hop breeder, Dr Tone Wagner at the Hop Research Institute in Zalec. In actuality though, it is not a Superstyrian, it’s a hybrid, a cross between Brewer’s Gold and a wild male and was only intended to be Superstyrian-like in style.",
c384a237-1825-4e40-806e-0726ac826751,Ahtanum™,,5.7,6.3,5,6.5,,,,,0.8 - 1.2,50,55,,,,,,,,,,,,,,,"Yakima Valley bred Ahtanum™ is sweet and peppery with a piney-citrus aspect. Warmly aromatic and moderately bittering, Ahtanum™ is a hop of distinction. It is often likened to Cascade though without going that far, it makes more sense to say that Cascade may be an acceptable substitute. In comparison, Ahtanum™ is less bitter, its alpha acids are lower and its grapefruit essence is significantly more pronounced. It really is more akin to Willamette, with its notes of lemon and grapefruit. Ahtanum’s distinct citrus character led to it being used as the singular hop in Dogfish Head’s Blood Orange Heffeweisen and Stone Brewing’s Pale Ale.","Apple blossom, Jasmine, Geranium, Tea, Elderflower"
185800bc-07ab-4ccb-baf4-076df3ae0600,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alliance is a daughter of Whitbread Golding and was developed at Wye College alongside Progress in the early 1960’s. It is not known to be grown commercially anywhere at this time. It enjoyed a high yield in England but this was much more inconsistent in US plots. Originally bred to replace Fuggle, but after it resulted in only a marginal improvement the variety was deemed a failure.",
5f5f08e6-5359-45e1-a2ce-5ec9d2db10e4,Amallia,,,,,,,,,,,,,,,,,,,,,,,,,,,"Native to New Mexico, Amallia is a neomexicana varietal with a deeply earthy aroma and pronounced flavors of orange citrus. Bold and unique, it is considered well suited to brown or dark ales for both bittering and aroma. This variety was being trialed in Michigan by Michigan State University researchers in 2014.",
aa9f3db3-bd8a-48c5-9371-ac4f422240b8,Amarillo™ VGXP01,,8,11,6,7,,,,,1.5 - 1.9,68,70,,,,,,,,,,,,,,,"Amarillo™ VGXP01 hops are used worldwide where its ultra-high myrcene content creates a delicious orange citrus flavor. A varietal of Virgil Gamache Farms, Inc. Amarillo™ VGXP01 is highly acidic, making it a perfect choice for for ESB’s and Pale Ales.","Black tea with lemon, Melon, Apricot, Grapefruit"
01d1f17e-194e-43c3-a360-2d3c6d21f497,Amethyst,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amethyst is an aroma hop from the Czech Republic and is a derivative of Saaz. It features a notably low alpha acid percentage and notes of earthy, citrus and spice. Amethyst’s aroma profile is suited well to full-bodied lagers and pale ales.",
8a75e8d2-2542-4227-b6fb-703be5180dd1,Apollo,,,,,,,,,,,,,,,,,,,,,,,,,,,"Super-alpha hop Apollo was first bred in 2000 by Hopsteiner and released to the public in 2006. it is descended from Zeus and two other unnamed USDA varieties. It tends to be quite expensive, though quantities used tend to be smaller due to its ultra-high concentration of alpha-acids.",
0c3aa197-68b5-436b-8ec0-bfb05a9c74cb,Apolon,"Bittering, Aroma",12,,4,,2.25,,Slovenia,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),,1.3,1.6,63,,26,,4,,,,,,11.3%,,,,"Apolon hops are hard to come by with cultivation dwindling since its Super Styrian status was brought into question. Originally introduced as a Super Styrian in the 1970’s, it has since been reclassified as a Slovenian hybrid and is a cross between Brewer’s Gold and a Yugoslavian wild male.",
4bf0cc33-4866-488d-a3a5-f6272ef3a264,Aquila,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aquila was developed in the U.S. and was established in three-acre commercial trials throughout the Northwest in 1988. It was officially released in 1994 but due to its overly high cohumulone content, its use was been considered limited and it is no longer available commercially. North American brewing giant Anheuser Busch lost interest in the variety in 1996, ultimately spelling a death knell for Aquila’s commercial record.",
e250ac5c-56ea-4b72-9dcd-903b2f3f4824,Aramis,Aroma,7.9,8.3,3.8,4.5,42,,France,,1.2 - 1.6,1.2,1.6,40,,21,,7.4,,,,3.6,5.1,2%-4%,"Willamette, Challenger, Ahtanum™, Strisselspalt, Centennial, Chinook, Hallertau, Tettnanger",,"Sweet with notes of spice, citrus and herbs","Aramis is an aroma hop from the Alsace region in France. Crossed in 2002, Aramis is a product of Strisselspalt and Whitbread Golding and was in fact the very first variety to come from the Comptoir Agricole breeding program. It inherited Strisselspalt’s excellent aromas while providing a more plentiful and stable bittering quality.","Mint, Lemon grass, Rose, Raspberry, Caramel"
67d2a73b-6ff7-49d1-a584-ade1c27812f7,Atlas,,,,,,,,,,,,,,,,,,,,,,,,,,,"Released in the 1970’s, Atlas enjoys both good bittering and aroma qualities with intense notes of lime, blossom and pine. Like its siblings Aurora, Ahil and Apolon, Atlas has been cut back in commercial production over industry confusion stemming from its incorrect classification as a Super Styrian. It’s a Slovenian breed but is in actuality a seedling of Brewer’s Gold. Developed by Dr Tone Wagner at the Hop Research Institute in Zalec, Atlas has also accomplished USDA accession.",
e7e25fb0-c742-4b28-8b32-6d57c0d4eb43,Ariana,,10,13,4.5,6,,,,,1.6 - 2.4,47,57.6,,,,,,,0.5,0.6,2.9,3.3,,,,,,"Passion fruit, Pineapple, Quince, Jasmine, Tangerine"
a5b680d9-f07a-49d9-aead-43823d0cd353,Aurora,,7,9,3,5,,,,,0.9 - 1.4,35,53,,,,,,,,,,,,,,,"Diploid hybrid Aurora is the one Super Styrian still enjoying global commercial availability. In fact, it is quite a celebrated hop and one of two distinct varieties prominently produced in Slovenia. Developed as a seedling of Northern Brewer, Aurora’s aroma derives from its lovely balance of essential oils.","Bergamot, Lemon grass, Aniseed, Citrus, Flora"
71bf0507-4e2e-4fd2-b4f5-7906d018fb34,Azacca™,"Bittering, Aroma",14,16,4,5.5,38,45,US,,1.4 - 2,1.6,2.5,46,55,14,18,8,12,,,,,< 1%,,Azaaca,"Aromas of tropical fruits and citrus. Tasting notes of spicy mango, pineapple, tangerine and pine.","Named after the Haitian god of agriculture, Azacca is one of a new brood of dwarf bittering hops. Descended directly from Toyomidori, its greater parentage also includes Summit™ and Northern Brewer. Bred by the American Dwarf Hop Association, a joint hop breeding venture between Roy Farms, Wyckoff Farms and Green Acres Farms, Azacca is considered by many brewers as being well suited to IPAs.","Gooseberry, Celeriac, Grapefruit, Pineapple, Peach"
1734eae2-7961-431b-9e11-077a88c8d133,Backa,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dating back to 1956, Backa is an old, rare variety of aroma hop with an unknown land race pedigree. It has the potential for high yield in its native Backa region of Serbia (formerly Yugoslavia) but doesn’t seem to do all that well elsewhere. It’s highly aromatic and is said to have similar qualities to many European “Noble Hops”. The USDA lists two strains of Backa (56002) and (21080), but there seems to be some disagreement as to whether or not they are identical.",
701c8e55-85df-47a8-a423-b6e82e555c4c,Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banner did not fare well on the commercial market. Bred from a Brewer’s Gold seedling in the early 1970’s through open pollination, its first test plot was abandoned due to severe mildew problems.",
ed00d84b-4607-4216-b0fa-c8b7adb69a8b,Bate’s Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bate’s Brewer is a very old hop variety that is no longer grown. Used to breed Whitbread Golding, it — much like it’s progeny — is not considered to be a true Golding variety. It was used extensively by Wye College in the early 1900’s to breed new varieties.",
005fcde1-7015-42ac-9359-1f00e597f557,Belma®,"Bittering, Aroma",12.1,,,,,,US,,,,,,,,,,,,,,,,,,"Notes of orange, melon, strawberry, pineapple with a hint of grapefruit","Belma® hops are a recent addition from Hops Direct and Puterbaugh Farms in the Yakima Valley. Belma has been tested as a dual-use hop and found to have an ambrosial mix of orange, melon, strawberry and pineapple with a slight hint of grapefruit. Backing that up, OSU created a Pale Malt with Belma which carried those same aroma and flavor characteristics.",
8b9c74b6-ae1b-4f46-8dea-256090a44e1a,Bianca,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bianca (a.k.a. Bianco and Bianca Gold), with its lemon yellow color and red-brown to pink contrasting stem, is bred strictly as an ornamental hop. It must be grown in semi-shaded areas as its light leaves are subject to leaf burn in the sun. While not bred for commercial use, it is said that the cones can be used for flavoring if a Saazer-style aroma and taste is desired. Sunbeam, Bianca’s half-sister has similar characteristics.",
9a2eaa28-047b-4715-88f9-7f863678cce9,Bitter Gold,Bittering,18.8,,6.1,8,36,41,US,Retains 55.6% alpha acid after 6 months storage at 20ºC (68ºF),,0.81,3.92,68.2,,7.5,,8.4,,,,,,1.2%,"Galena, Nugget",,"Use for bittering only, has no notable aroma","Super-alpha variety Bitter Gold’s heritage comes from varieties Bullion, Brewer’s Gold, Comet and Fuggle. It features an alpha-acid percentage higher than any of its parents and higher even than Galena or Nugget, to which it is often compared.",
b1242e5a-5012-44e2-a790-762b6f38f8b1,Blato,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blato was one of the first hops authorized in Czechia (formerly Czechoslovakia) for commercial production. It is not usually singled out, but is one of the collective known as Saaz Hops, or Bohemian Early Red. It doesn’t yield very well in the U.S., but it is suspected to be much more prolific in its native homeland. Zatec Hop Company in Czechia states that in the analysis of the oils and resins, Blato and its siblings have proven to have the same fine aromatic profile of other Saaz hops one that is genuine and delicate.",
fa0f9a77-dae0-4347-96a5-8478a8f2d863,Blisk,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dating back to the late 1970’s, Blisk was bred in its native Zalec region of Slovenia, along with Bobek and Buket in an attempt to instil both high alpha content and pleasant aroma in one cultivar. It is a cross between Atlas and a male varietal from the former Yugoslavia. Despite its decent yield, Blisk is not being commercially produced.",
3b226a83-ea05-4a75-a0df-d3d1b8c9f7b7,Blue Northern Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,The Blue Northern Brewer was discovered as a mutant with deep reddish-blue leaves growing in a Belgian hop yard in the early 1970’s. It was released as an ornamental variety in 1992. Its use for brewing is plausible but tentative.,
257f7058-f877-4aa8-9524-21380ac2886c,Boadicea,Aroma,8,9,3,4,26,,UK,,1.3 - 1.5,1.4,2,33,,20,,15,19,0.2,0.4,,,5%,,,Delicate aroma of orchard blossoms and grass. Subtle spicy character.,"Released in 2004, Boadicea is a finishing hop bred by Horticulture Research International. Known as the first aphid-resistant variety in the world, it also exhibits excellent resistance to wilt and downy mildew. As a dwarf/hedgerow variety, it grows to a shorter height than traditional varieties and yields just the same, making it an easier prospect to harvest.","Peppermint, Barrique, Tobacco, Lime, Liquorice"
f370e49a-7aa5-4b22-b8d7-322ed0973f51,Bobek,,3.5,7.8,4,6.1,,,,,0.7 - 4,49,77,,,,,,,0.9,1.3,,,,,,,"Diploid hybrid Bobek features a pleasant floral aroma. Bred in its native Zalec region of Slovenia alongside Blisk and Buket, Bobek was an attempt to create both high alpha and good aroma in one cultivar. Bobek is not being commercially produced at this time. Its parents are Northern Brewer and a Slovenian male.","Artichoke, Hay, Lemon, Sage"
fe264a1a-07dc-4656-b108-231cee535181,BOR,Aroma,3,,3,4,14,20,US,Retains 67% alpha acid after 6 months storage at 20ºC (68ºF),,0.65,,21,,46,,13,,,,,,Trace Amounts,,BOR 704,,"Selected by Dr Bob Romanko, BOR 704 was so named for it’s planting position, row 7, plant 04, in the Prosser “Bone Yard” in the Yakima Valley. It features an aroma profile that is distinctly European. While BOR exhibits a relatively poor yield, it has been used to breed other seedlings in an effort to pass on its low cohumulone rate that is sometimes as low as 14%. However, its low alpha content has hindered it from gaining any successful foothold in commercial hops production.",
7c6d82fc-a934-4c34-8108-f679e2bcd6eb,Bouclier,"Bittering, Aroma",9,,2.4,3.3,20,25,UK / France,,,1.1,1.6,38,,34,,3.4,,,,,,,,,"Aromas of herb, grass and spice alongside a citrus and floral character","Emerging in 2005, Bouclier is a cross between Alsace-grown Strisselspalt and a wild male from Wye, Kent. It is unclear however if this variety was first developed in the UK or across the Channel in France.",
