ID,Producer,Name,Group,Moisture (%),Yield (%),Color (EBC),Beta Glucans (mg/l),Viscosity (mPa.s),Diastatic power (ºWK),Protein (%),Protein (TN),FAN (mg / 100g),Max in Batch (%),Country,DMS-P,Kolbach Index,Wort ph,Recommend In Mash,Notes
,Agraria,Pilsen Malt,,4.8,76.6,7,180,1.6,245,11.8,1.888,140,100,Brazil,,,,,Used for all types of light beers and base for special beers.
,Agraria,Pale Ale Malt,,4.5,,7,150,1.6,200,11.5,1.84,,100,Brazil,,,,,"Produced with two-row barley 100% national. Malt traditionally used for British high fermentation beers, currently used for Ales, Porter, Sout, Lager and Belgian. With high modification, ideal for the ""mash"" mash technique."
,Agraria,Vienna Malt,,4.5,,10,180,1.6,200,11.5,1.84,,100,Brazil,,,,,"Base malt made from 100% domestic two-row barley. Higher protein content, suitable for the manufacture of most Golden / Brown Lagers. Used to correct the color of very light malts or to produce golden beers with a fuller body. Used in Märzen, Festbier, Vienna Lager and other light beers."
,Agraria,Munich Malt,,4.5,,25,220,1.6,150,12.5,2,,100,Brazil,,,,,"Base malt made from 100% domestic two-row barley. It highlights the malty aroma and obtaining more intense colorings. For dark beers, like Munich, Black and Bock. Exceptional result, in small doses, for Pilsen type beers."
,,,,,,,,,,,0,,,,,,,,
,Atelier Do Malte,Terroir Paulista Vienna,specialty,6,78,10,200,1.6,200,12,1.92,120,80,Brazil,5,41,,TRUE,"It is considered a special dark malt but can be used as a base malt or in combination with other types of malt, Vienna  is a well-modified malt, and has enough enzymes for use in high percentages in the recipe. The curing time and temperature are not extreme, just above Pale Ale malt. Its degree of modification and more intense roasting provides intense flavor and color to the beer . "
,Atelier Do Malte,Terroir Paulista Pale Ale,specialty,4,79,6,200,1.6,200,12,1.92,120,100,Brazil,5,41,,TRUE,"Generally used as a base malt or in combination with other types of malt, Pale Ale  is considered a special malt because it is more modified, that is, because it presents a greater degree of degradation of b-Glucans and greater production of enzymes, providing a more pronounced flavor and color than that of Pilsen malt. The curing time and temperature are not extreme, which allows the enzymes to support  the use of special non-enzymatic malts such as caramel or roasted."
,Atelier Do Malte,Terroir Paulista Pilsen,base,6,79,3.5,200,1.6,200,12,1.92,120,100,Brazil,5,41,,TRUE,"It is considered a base malt because it has an excellent enzymatic power and that even together with portions of other malts of lower enzymatic power (caramels and / or roasted) it is able to “digest” all the starch in smaller sugars providing an excellent amount of simple sugars for yeast , that is, extract. For the maintenance of a light color and with a high level of enzymes, pilsen malt does not force its modification and must be taken care during drying so that the curing temperature is sufficient for elimination of DMS precursors and inactivation of oxidative enzymes and development of flavor without, however, compromising the proteolytic and amylolytic enzymes needed in brazing."
,Atelier Do Malte,Terroir Paulista Carapálida ,specialty,6,78,6.5,200,1.6,150,5.4,0.864,120,30,Brazil,5,41,,,"Caramel malt is a special well-modified malt where, at the beginning of drying, it is ""stuffed"" for gelatinization and saccharification of starch and formation of dextrins, responsible for the increase in the body of the beer. The curing temperature, different from the other caramels, is not very high which causes a very mild caramelization, but a strong sweet flavor. Due to the fact that it is subjected to high humidity temperatures, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts."
,Atelier Do Malte,Terroir Paulista Munich,specialty,6,75,20,200,1.6,150,12,1.92,120,40,Brazil,5,41,,TRUE,"Munich malt is a special, well-modified malt that undergoes a short “stuffing” process at low temperature for the action of proteases and the production of precursors to the flavor of “toasted bread”. Drying is done at low temperatures and during curing it is subjected to high temperatures to gain color. There is a loss of mild enzymatic power due to high curing temperatures and should therefore be used in mixture with base malts. "
,Atelier Do Malte,Terroir Paulista Biscoito / Melanoidina,specialty,6,72,55,200,1.6,150,12,1.92,120,25,Brazil,5,41,,TRUE,"The biscuit malt is a special well modified malt and in the same way that the caramel goes through a ""stewing"" process at low temperatures for the action of proteases and production of the precursors of the ""toasted bread"" flavor. This malt is longer to cure at higher temperatures for the development of intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. "
,Atelier Do Malte,Terroir Paulista Caramelo 1,caramel,6,75,35,200,1.6,150,12,1.92,120,30,Brazil,5,41,,TRUE,"Caramel malt is a special well-modified malt where, at the beginning of drying, it is ""stuffed"" for gelatinization and saccharification of starch and a higher curing temperature for caramelization of sugars. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. "
,Atelier Do Malte,Terroir Paulista Caramelo 2,caramel,6,75,55,200,1.6,150,12,1.92,120,25,Brazil,5,41,,,"Caramel 2 malt is a special well-modified malt and in the same way that caramel goes through a “stuffing” process at higher temperatures for the action of amylases and the production of precursors of the “caramel” flavor. This malt is longer to cure at higher temperatures for the development of intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. "
,Atelier Do Malte,Terroir Paulista Caramelo 3,caramel,6,75,100,200,1.6,150,12,1.92,120,20,Brazil,5,41,,,"Caramel 3 malt is a special well-modified malt and in the same way that caramel goes through a ""stuffing"" process at higher temperatures for the action of amylases and the production of precursors of ""caramel"" flavor. Curing of this malt is longer at higher temperatures for the development of the desired intense color and flavor. Due to the fact that it is subjected to high temperatures with high humidity, the enzymatic loss is considerable and, therefore, it must be used in mixture with base malts. "
