ID,Name,Producer,Group,Type,Standard (ASBC/EBC/ION),Moisture (%),"Extract, F.G. dry (%)",Extract (L/KG),Fine-coarse difference (EBC),Potential (SG),Color (EBC),Diastatic power (ºWK),Protein Total (%),Soluble protein (%),Total Nitrogen (%),Soluble Nitrogen (mg/100g),Max in Batch (%),FAN (mg/g),Alpha Amylase (Dry min),Beta Glucans (mg/l),Saccharification time (min),Viscosity (mPa.s),DMS-P,Kolbach Index,Friability (%),Wort pH,Country,Notes
de5c5e06-2708-4099-b75d-4ff8975de673,D-240,Candi Syrup,,sugar,,,,,,1.032,473,,,,,,,,,,,,,,,,US,"Candi Syrup is the richest and darkest candi syrup available on the market. Created to have a rich smooth palate, D-240 is a triple-dark syrup with hints of dark raisin, extra dark stone fruit and a roasted dark caramel back-palate. For ales that require full body and indescribable flavor that will set your ales apart."
2eb87f3a-fe5a-4b5a-9d5b-828cbeeace99,D-180,Candi Syrup,,sugar,,,,,,1.032,355,,,,,,,,,,,,,,,,US,"D-180 is our premium extra dark Belgian style Candi Syrup. It has the unmistakable flavors of fresh ground coffee, dark stone fruit, and toasted bread. D-180 is the basis for the perfect cloning of Westvleteren 12, Rochefort 10, and many other dark Belgian Ales. When you consider brewing specialty ales like these, consider the more authentic end result, superior flavor, darker color, and exceptional results of D-180."
79ff212d-0902-4547-a89d-4bced14a0094,Simplicity,Candi Syrup,,sugar,,,,,,1.032,2,,,,,,,,,,,,,,,,US,"Simplicity is a near perfect balance of highly fermentable sugars. It is our unique blonde Belgian style Candi Syrup unlike anything available on the market today. Excellent for Saisons, Triples, and Golden Ale's. It is readily fermentable and creates a refreshing subtle flavor that is always on the periphery of your palate. Some say it has a faint ""citrusy"" flavor and others say is has a mild honey palate. Simplicity Candi Syrup™ is much to be preferred over refined sugar due to it's superior fermentability."
5df04df5-6994-4f7c-9944-7c935a7519fd,D-90,Candi Syrup,,sugar,,,,,,1.032,177,,,,,,,,,,,,,,,,US,"D-90 is by far the most universal of our Belgian style Candi Syrups and is made with pure Beet sugar. This syrup creates an unmistakable and subtle chocolate back-palate, toffee, and toasted bread flavors that make a dark Candi Syrup truly brew-worthy. This syrup will insure the caramel aroma and rich flavors of award winning Belgian style ales."
665e8453-6830-441f-a0a7-d08dd1830462,D-45,Candi Syrup,,sugar,,,,,,1.032,89,,,,,,,,,,,,,,,,US,"D-45 is our rich translucent amber syrup. We've tested it in Chimay clone's and Belgian Brown Ale's. The unmistakable toffee, vanilla, and toasted flavors that are magically created from raw beet sugar are what make D-45 Candi Syrup uniquely aromatic and delicious. Exceedingly good in Brown Ales or medium Golden Ale's that require an aromatic nose and subtle flavor."
4c54abb0-48eb-4887-a75a-ba20be9894ee,Golden,Candi Syrup,,sugar,,,,,,1.032,10,,,,,,,,,,,,,,,,US,"Golden is a decadent Golden Belgian style Candi Syrup that contributes rich caramel flavors followed by a subtle fruit back-palate. The color is a rich translucent 24 karat gold. Golden is ideal for award winning Belgian Golden Ale's, Tripels, Bier de Garde, Saison, Belgian Blonde, and all lighter Belgian Ale's. Candi Syrup, Inc. is the only purveyor of Golden Belgian Candi Syrup in the United States and Canada."
d6d11eb1-82d2-42c2-a94a-4bfa12ccfa62,Blanc - Soft Candi Sugar,Candi Syrup,,sugar,,,,,,1.042,0,,,,,,,,,,,,,,,,US,
251990d6-e025-4a64-840e-9a9a9c44e108,Brun Léger Cassonade (Light Brown Soft Candi Sugar),Candi Syrup,,sugar,,,,,,1.042,12,,,,,,,,,,,,,,,,US,
7216f123-235e-419e-a039-591021c99586,Brun Foncé - Cassonade (Dark Brown Soft Candi Sugar),Candi Syrup,,sugar,,,,,,1.042,43,,,,,,,,,,,,,,,,US,
4b73cf67-c773-4fa6-9b59-2d9f27b06c9d,Pumpkin Spice Candi Syrup,Cascade Beer Candi Company,,sugar,,,,,,1.032,24,,,,,,,,,,,,,,,,US,"Our custom blend of pumpkin pie spices using nutmeg, clove, ginger, cinnamon and mace. Not only is it a great addition to your holiday stout but the prefect back sweetener for your cider or mead."
