ID,style,name,Original Gravity (°Plato) ,,Original Gravity (°Plato) ,,Alcohol by Weight (Volume) ,,Bitterness (IBU),,Color SRM (EBC),,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes
1,All Origin Hybrid/Mixed Lagers or Ale,Session Beer,Original Gravity (°Plato) 1.034-1.040 (8.5-10 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.004-1.010 (1-2.6 °Plato), ,Alcohol by Weight (Volume) 2.8%-4.0% (3.5%-5.0%), ,Bitterness (IBU) 10-35, ,Color SRM (EBC) 2+(4+ EBC),, The color should mimic the classic style upon which the beer is based, Appearance may vary from brilliant to hazy to cloudy and should mimic the classic style upon which the beer is based," Malt attributes should mimic the classic style upon which the beer is based, but at lower overall intensity due to lower original gravity."," Hop attributes should mimic the classic style upon which the beer is based, but at lower overall intensity in order to maintain the balance typical of that style."," Should mimic the classic style upon which the beer is based, but at lower overall intensity in order to maintain the balance typical of that style.", Varies with underlying style, Varies with underlying style," This category includes beers of any style that 1) are at or below 5.0% abv (4.0% abw), and 2) have an original gravity and alcohol content below the range of the classic style as defined in these guidelines. These beers exhibit lower original gravity and alcohol content than the classic style. Drinkability is key to a successful session beer. Beers at or below 5.0% abv (4% abw) that adhere to the specifications of a classic style are not categorized as Session Beers. For example, low gravity beers such as Belgian-Style Table Beers or English-Style Mild Ales should be categorized within their appropriate categories. Drinkability is key to a successful session beer."
2,All Origin Hybrid/Mixed Lagers or Ale,Session India Pale Ale,Original Gravity (°Plato) 1.038-1.052 (9.5-12.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.008-1.014 (2-4.6 °Plato), ,Alcohol by Weight (Volume) 3.0%-4.0% (3.7%-5.0%), ,Bitterness (IBU) 40-55, ,Color SRM (EBC) 3-12(6-24 EBC),, Straw to copper, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., A low to medium maltiness should be present in aroma and ﬂavor., Hop aroma and ﬂavor are medium to high and can display qualities from a wide variety of hops from all over the world. Overall hop character is assertive., Medium to high, Fruity esters are low to medium. Diacetyl should not be present., Low to medium, Beers exceeding 5.0% abv are not considered Session India Pale Ales. Beers under 5.0% abv (4.0% abw) which meet the criteria for another classic or traditional style category are not considered Session India Pale Ales.
3,All Origin Hybrid/Mixed Lagers or Ale,American-Style Cream Ale,Original Gravity (°Plato) 1.044-1.052 (11-12.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.004-1.010 (1-2.6 °Plato), ,Alcohol by Weight (Volume) 3.4%-4.5% (4.3%-5.7%), ,Bitterness (IBU) 10-22, ,Color SRM (EBC) 2-5(4-10 EBC),, Straw to gold, Chill haze should be very low or not be present, The dominant flavor is of pale malt sweetness at medium-low to medium levels. Caramel malt attributes should be absent. Attributes typical of corn or other adjuncts may be present at low levels., Hop aroma and ﬂavor is very low to low or may be absent, Very low to low, Low level fruity esters may be present. Sulfur and DMS are usually absent but may be present at extremely low levels. Diacetyl should not be present., Low, These crisp and refreshing beers are fermented warm with ale or lager yeast and lagered cold
4,All Origin Hybrid/Mixed Lagers or Ale,California Common Beer,Original Gravity (°Plato) 1.045-1.056 (11.2-13.8 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.010-1.018 (2.6-4.6 °Plato), ,Alcohol by Weight (Volume) 3.6%-4.5% (4.6%-5.7%), ,Bitterness (IBU) 35-45, ,Color SRM (EBC) 8-15(16-30 EBC),, Light amber to medium amber, Appearance should be clear. Chill haze should not be present, Medium level toasted and/or caramel malt attributes are present., Low to medium-low, Medium to medium-high, Fruity esters are low to medium-low. Diacetyl should be absent., Medium, California Common beers are brewed with lager yeasts but fermented at warm temperatures like ales
5,All Origin Hybrid/Mixed Lagers or Ale,American-Style Wheat Beer,Original Gravity (°Plato) 1.036-1.056 (9-13.8 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.004-1.016 (1-4.1 °Plato), ,Alcohol by Weight (Volume) 2.8%-4.4% (3.5%-5.6%), ,Bitterness (IBU) 10-35, ,Color SRM (EBC) 2-10(4-20 EBC),, Straw to dark brown, Clear to cloudy," Low to medium-low level pale malt attributes are present in paler versions. Medium-low to medium-high malt attributes such as cocoa, chocolate, caramel, toffee or biscuit may be present in darker versions. Roast malt astringency is acceptable in darker versions when balanced with malt sweetness.", Low to medium, Low to medium. Versions served with yeast may exhibit somewhat higher perceived bitterness.," Low to medium fruity esters are present. Diacetyl and phenolic, clove-like attributes should not be present. Low to medium yeast character is present in versions served with yeast, in harmony with malt and hop attributes and not sharp.", Very low to medium. Versions served with yeast may exhibit a full mouthfeel.,
6,All Origin Hybrid/Mixed Lagers or Ale,Kellerbier or Zwickelbier,Original Gravity (°Plato) Varies with style ,,Apparent Extract/Final Gravity (°Plato) Varies with style ,,Alcohol by Weight (Volume) Varies with style ,,Bitterness (IBU) Varies with style, ,Color SRM (EBC) Varies with style,, Varies depending on the underlying European origin lager or ale style, Can be slightly hazy to moderately cloudy. A small amount of yeast haze is acceptable and traditional. These beers must be unﬁltered but may become clear with age. May exhibit poor head retention., Varies depending on the underlying style, Varies depending on underlying style. Low level attributes typical of late or dry hopping may be present in some versions., Varies depending on underlying style," Low levels of sulfur and acetaldehyde or other volatiles normally scrubbed during fermentation, if present, can enhance the flavor of these beers. Low fruity esters may be present and may vary slightly from the underlying style due to age and the presence of yeast. Diacetyl is usually absent in these beers but may be present at low levels in keller versions of beer styles which can contain diacetyl when fully aged, such as Bohemian-Style Lager.", Varies depending on underlying style," Kellerbier or Zwickelbiers are unﬁltered versions of lager or ale styles of European origin. These can include traditional Helles, Dunkel, Dortmunder, Vienna, Rotbier, Bohemian, Koelsch, Alt, as well as less common traditional or contemporary European-origin lager and ale styles. Kellerbiers have carbonation ranging from low to normal. These unﬁltered beers are packaged and served with very low to moderate amounts of yeast. Contemporary versions may be ﬁltered and dosed with yeast during packaging."
7,All Origin Hybrid/Mixed Lagers or Ale,American-Style Fruit Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 5-70, ,Color SRM (EBC) 5-50(10-100 EBC),, Can range from pale to very dark depending on the underlying style and is often influenced by the color of added fruit, Clear or hazy is acceptable, Not present to medium-low, Not present to medium-low, In balance with fruit character and usually at very low to medium levels," American-Style Fruit Beers are fermented with traditional German, British or American ale or lager yeast. Beers fermented with Belgian-style, German-style Hefeweizen or other South German wheat beer or Berliner-style Weisse yeasts should be categorized elsewhere. Fruit beers exhibiting sourness should be categorized elsewhere. Attributes typical of wild fermentation should not be present.", Varies with style," Fruit aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Fruit or fruit extracts, used as an adjunct in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Within the framework of these guidelines, fruit beers fermented with Belgian yeast (Wit, Abbey, Farmhouse, Saison and/or Brettanomyces) should be categorized as Belgian-Style Fruit Beers, or possibly as fruited Brett Beers. Some beers may fit into this category if they contain fruity adjuncts but no actual fruit. As an example, a juniper berry-ﬂavored beer with notable juniper berry fruity ﬂavor and/or aroma could be categorized as a Fruit Beer, whereas a beer in which the juniper berry character is more herbal or spicy should be categorized as an Herb and Spice Beer. Fruit Beers brewed with wheat should be categorized as Fruit Wheat Beers. Fruit Beers brewed with unusual fermentable(s), but no wheat, should be categorized as Fruit Beers. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut should be categorized as Field Beers."
8,All Origin Hybrid/Mixed Lagers or Ale,Fruit Wheat Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 10-35, ,"Color SRM (EBC) 2-10, or color of fruit(4-20, or color of fruit EBC)",," Generally straw to light amber, and often influenced by the color of added fruit."," Chill haze is acceptable. These beers may be served with or without yeast. When served with yeast, appearance is hazy to very cloudy.", Low to medium-low, Low to medium, Low to medium," These beers can be fermented with either ale or lager yeast depending on the underlying wheat beer style. Low fruity esters are typical. Diacetyl should not be present. In versions served with yeast, yeasty aroma and ﬂavor should be low to medium.", Low to medium," The grist should include at least 30 percent malted wheat. Fruit or fruit extracts contribute aroma and ﬂavor expressing true fruit complexity. Versions served with yeast should demonstrate a full yeasty mouthfeel. Fruited examples of wheat beer styles that are not commonly brewed with fruit and do not exhibit attributes of wood aging should be categorized as Fruit Wheat Beers. These could include fruited versions of various wheat beer styles of European origin such as Weizens, Adambier or Grodziskie. Fruited wheat beers that exhibit sourness fall within various fruited sour beer categories. Such beers could deviate from parameters shown for those styles but should be suggestive of the underlying classic beer style with fruit added. Fruited versions of Berliner Weisse or Contemporary Gose fall within those categories as they are commonly brewed with fruit. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut should be entered as Field Beers."
9,All Origin Hybrid/Mixed Lagers or Ale,Belgian-Style Fruit Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-9.5% (2.5%-12.0%), ,Bitterness (IBU) 5-70, ,Color SRM (EBC) 5-50(10-100 EBC),," Can range from pale to dark depending on underlying Belgian style, and is often influenced by the color of added fruit", Clear to hazy beer is acceptable, Can vary from not perceived to medium-high, Low to high, Varies with underlying Belgian style," Acidic bacterial fermentation attributes may be absent or may be present; if present, such attributes contribute to acidity and enhance fruity balance.", Varies with style," Fruit aromas, ranging from subtle to intense, should be present and should not be overpowered by hop aromas. Belgian-Style Fruit Beers are fermented with traditional Belgian yeast, (Wit, Abbey, Farmhouse, etc.). Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut should be categorized as Field Beers. Fruit or fruit extracts, used as adjuncts in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Classifying these beers can be complex. Wood vessels may be used for fermentation and aging, but wood-derived aromas and ﬂavors such as vanillin should not be present. Versions exhibiting attributes derived from wood or liquids previously aged in wood should be categorized in other Wood-Aged Beer categories. Fruited Belgian-style beers which exhibit Brettanomyces may be categorized in this style, when no other category exists for such beers. However, a fruited Saison exhibiting Brett character should be categorized as a Specialty Saison. A fruited version of a Brett Beer is categorized as Fruited Brett Beer when such a Brett-containing beer is not based on an existing underlying Belgian beer style. A Lambic-Style fruit beer should be categorized as a Belgian-Style Fruit Lambic. Fruited Belgian-Style beers brewed with additional adjuncts could fall in this category or perhaps as Experimental Beers. Fruit beers fermented with German, British or American ale or lager yeast should be categorized as American-Style Fruit Beers or as Fruit Wheat Beers."
10,All Origin Hybrid/Mixed Lagers or Ale,Field Beer,Original Gravity (°Plato) 1.030-1.110 (7.6-25.9 °Plato), ,Apparent Extract/Final Gravity (°Plato) 1.006-1.030 (1.5-7.6 °Plato), ,Alcohol by Weight (Volume) 2.0%-10.5% (2.5%-13.3%), ,Bitterness (IBU) 5-70, ,Color SRM (EBC) 5-50(10-100 EBC),, Can range from pale to very dark depending on the underlying style and is often influenced by the color of added fruit, Clear to hazy is acceptable, Very low to medium-high, Very low to medium-high, Very low to medium-high. Vegetable character should not be muted by hop character., Varies with underlying style, Varies with underlying style," Vegetable aromas, ranging from subtle to intense, should be present, and should not be overpowered by hop aromas. Field Beers are any beers incorporating vegetables as ﬂavor or carbohydrate adjuncts in either the mash, kettle, primary or secondary fermentation. The vegetable character should be in harmony with other attributes and can range from subtle to intense. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut should be entered as Field Beers. All beers containing chili peppers should be categorized as Chili Beers. Beers containing nuts should be categorized as Field Beers."
