ID,Type,Style,Name,OG Low,OG High,OG Plato Low,OG Plato High,FG Low,FG High,FG Plato Low,FG Plato High,Alcohol by Weight Low (%),Alcohol by Weight High (%),Volume Low (%),Volume High (%),Bitterness Low (IBU) ,Bitterness High (IBU) ,Color Low SRM,Color High SRM,Color Low EBC,Color High EBC,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes
93F5021C-E70A-40BF-8425-4F2D900E6170,Ale,British Origin Ale Styles,Ordinary Bitter,1.033,1.038,8.3,9.5,1.006,1.012,1.5,3.1,2.4,3.3,3,4.2,20,35,5,12,10,24,Gold to copper-colored,Chill haze is allowable at cold temperatures,Low to medium residual malt sweetness should be present,Very low to medium-low,Medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Low to medium,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character."
A40A6E7E-63CB-44F4-9777-2B17EAEBF834,Ale,British Origin Ale Styles,Special Bitter or Best Bitter,1.038,1.045,9.5,1.2,1.006,1.012,1.5,3.1,3.3,3.8,4.2,4.8,28,40,6,14,12,28,Deep gold to deep copper,Chill haze is acceptable at low temperatures,Medium residual malt sweetness should be present,Very low to medium at the brewer’s discretion,Medium and not harsh,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character."
C7C5D020-6047-49D8-AA06-B4590EA81BDC,Ale,British Origin Ale Styles,Extra Special Bitter,1.046,1.06,11.4,14.7,1.01,1.016,2.6,4.1,3.8,4.6,4.8,5.8,30,45,8,17,16,34,Amber to deep copper,Chill haze is acceptable at low temperatures,Medium to medium-high,Medium to medium-high,Medium to medium-high,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. The overall impression is refreshing and thirst quenching. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,Entries in this subcategory exhibit hop aroma and flavor attributes typical of traditional English hop varieties.
5CA01B57-ADF8-4B97-9059-B0BB76E10A1E,Ale,British Origin Ale Styles,Scottish-Style Light Ale,1.03,1.035,7.6,8.8,1.006,1.01,1.5,2.6,2.2,2.8,2.8,3.5,9,20,6,15,12,30,Gold to light brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma may be present. A low to medium-low, soft and chewy caramel malt ﬂavor should be present.",Should not be present,Low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Low,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content and malt attributes. While there are conflicting theories as to whether traditional Scottish Light Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer."
AE2F31C1-2FB8-4EA9-9BE1-A0220624904D,Ale,British Origin Ale Styles,Scottish-Style Heavy Ale,1.035,1.04,8.8,10,1.01,1.014,2.6,3.6,2.8,3.2,3.5,4.1,12,20,8,30,16,60,Amber to dark brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma is present. The style exhibits a medium degree of sweet malt and caramel. The overall impression is smooth and balanced.",Should not be present,Perceptible but low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Medium with a soft chewy character,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content and malt attributes. While there are conflicting theories as to whether traditional Scottish Heavy Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer."
6B02611E-8700-48B9-AAD6-63751DEF0CF2,Ale,British Origin Ale Styles,Scottish-Style Export Ale,1.04,1.05,10,0.4,1.01,1.018,2.6,4.6,3.2,4.2,4.1,5.3,15,25,9,19,18,38,Medium amber to dark chestnut brown,Chill haze is acceptable at low temperatures,Sweet malt and caramel aromas and flavors define the character of a Scottish Export,Should not be present,Low to medium,"Fruity esters, if present, are low. Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions.",Medium,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content and malt attributes. While there are conflicting theories as to whether traditional Scottish Export Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer."
E21659A7-CC45-4F51-9BC8-A97C0DFB4729,Ale,British Origin Ale Styles,English-Style Summer Ale,1.036,1.05,9,4,1.006,1.012,1.5,3.1,2.9,4,3.7,5.1,20,30,3,6,6,12,Straw to gold,Chill haze is acceptable at low temperatures,Residual malt sweetness is low to medium. Torriﬁed or malted wheat is often used in quantities of 25 percent or less. Malt attributes such as biscuity or low levels of caramel are present.,"English, American or noble-type hop aroma should be low to medium. English, American or noble-type hop ﬂavor should not be assertive and should be well balanced with malt character.",Medium-low to medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are low to medium. Diacetyl and DMS should not be present.",Low to medium-low,The overall impression is refreshing and thirst quenching
079BBE37-20FA-4804-817C-8974A73645C7,Ale,British Origin Ale Styles,Classic English-Style Pale Ale,1.04,1.056,10,0.8,1.008,1.016,2.1,4.1,3.5,4.2,4.4,5.3,20,40,5,12,10,24,Gold to copper,Chill haze is acceptable at low temperatures,Low to medium malt aroma and ﬂavor is present. Low caramel character is allowable.,"Medium-low to medium-high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes. While English hop character should be present, this can result from the skillful use of hops of other origin.",Medium-low to medium-high,Fruity esters are medium to medium-high. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,
324F4CC5-D5BF-4FDD-939F-08BF5ACDCD56,Ale,British Origin Ale Styles,English-Style India Pale Ale,1.046,1.064,11.4,15.7,1.012,1.018,3.1,4.6,3.6,5.6,4.5,7.1,35,63,6,14,12,28,Gold to copper,Chill haze is acceptable at low temperatures,Medium malt ﬂavor should be present,"Medium to high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes from high hopping rates. While English hop character should be present, this can result from the skillful use of hops of other origin.",Medium to high,"Fruity esters are medium to high. Traditional interpretations are characterized by medium to medium-high alcohol content. The use of water with high mineral content results in a crisp, dry beer with a subtle and balanced character of sulfur compounds. Diacetyl can be absent or may be present at very low levels.",Medium,"Non-English hops may be used for bitterness or for approximating traditional English hop character. The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version."
3B628EEE-FB59-4ACD-9889-B35933895BA9,Ale,British Origin Ale Styles,Strong Ale,1.06,1.125,14.7,29,1.014,1.04,3.6,10,5.5,8.9,7,11.3,30,65,8,21,16,42,Amber to dark brown,Chill haze is acceptable at low temperatures,Medium to high malt and caramel sweetness. Very low levels of roast malt may be present.,Not present to very low,"Present but minimal, and balanced with malt ﬂavors.","Rich, often sweet and complex fruity ester attributes can contribute to the profile of Strong Ales. Alcohol types can be varied and complex. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to split this category into subcategories which reflect strong and very strong versions."
